VideoID,label
0,e2d3 b8d7 d3d2 g6h7 c4c5 a5a4 d2c1 a7c5 c2f2
1,c2b3 e1f1 f7e7 a3a4 e7e3 a4a5
2,f1c1 h6h7 h4f3 h2g4 f6g6 g4f6 c1g1 f6d7 g6f5
3,h4h5 a7b5 c4b2 d7e6 g1h3 h6f7
4,c6g6 b1c2 g6g5 a2b2 h4f5 e4d3
5,f1e1 a8e8 e1f1 c5d3 b1b5 f8e7 f1c1
6,a3a1 f8f7 a1f1 e7c7 f2e3 e5f6 f1c1 f6c3 b3c3
7,a8d8 d1c1 f8g7 f4e3 f7f5 b5c6
8,g2g3 e7e6 h7g5 d5b3 e3e2
9,a3a4 d7d5 e1f1 g2a2 e7f8q h6g6 h1h2
10,b7e4 f4g5 e4a4 a2a3 a4h4 e2d3 d7f5
11,c1e3 d7b6 e3d4 h4f4 e2f2 e6e5 d4b6 f8g8 d5d6
12,e1f2 a6f1 f2g1 g5d8 g1f1 d8b6 a4a5 g4g3 a3a4
13,b2c1 b4c3 c8c5 e5d7 g4g7 h7h8
14,d1e2 h8h7 f4e5 c8d7 h2h3 h7g7 b1d2 b8a6 d2e4
15,g4e5 e7d6 e6c4 d1e1 h1b7
16,g6f8 c5a3 d5c4 a3b4 g5h6 b4d2 h6h5 d2g5
17,h6f8 d7c8 f8g7 e2c1 d6d4
18,b7d5 f5f4 a3b4 h6g4 e4f3 g4h2
19,f7e6 a3a4 c7c8 f6d8 c8b8 f3f4 b8b7 a1b1 b7c8
20,e5f5 b7d7 d2b1 a7b7 c1b2
21,f8g7 b6b7 e7c6 f5e6 c6a5 f4g5 c4d3 e6f7 a5b7
22,h7f7 a8a4 f7c7 c6b5 c7c3 h2f1 c3b3 b5c6 b3b8
23,g3b8 e1d3 c5d6 h6g7 d6c6 d3f4 g5g6 f4g6 b8g3
24,f6f8 d7e8 f8f5 c7d7 c3c4 g2e3 f1f2
25,e1f2 h6f5 e4e3 c5b7 d3c4 d1e2 c3e2 a3c5
26,d7c8 b2a4 b3d2 g1h1 d2e4 g2g4 c8d8 h2g1
27,d3f1 c7e8 h1h4 g8g2 f1g2 e8g7 d2f1 e7e6 a2c1
28,h7h5 h1g1 c8e8 a1c1 h5h4 c5b6 f5f1 g1f1
29,e7f5 c7b7 b4c6 c2e1 d6c5 a1a2 d8e8 a2g2 g4h4
30,
31,h6f7 h5f7 e8d8 h1h8 g7h8
32,f8e7 h2h3 e7f8 b2a3 a2b1 e5h2 b1a2 c4d5 c6b5
33,a6c5 d3c2 b7a6 h5f3 g7f8 c2d2 c5a4 g2g4
34,b4b5 e4f5 g2f1 f5g6 b5b6 d4e3 f2g2
35,a6b5 g3f4 c8b7 g4h4 a8a6
36,g2f1 c8d7 h2a2 f6e7 c4a6 d7c8 a2d2 g6f8 a6e2
37,g1f2 b8c7 a2a3 a6b6 e3d4 e5d4 d2c1
