ImageID,label
0,5q2/KP6/PR4pP/6P1/3p4/p1p4p/k7/1Q6
1,1b6/P2K4/pP6/1p1kp1P1/2p5/2B5/6B1/8
10,8/PK6/1P6/3P4/np3b2/r1pB4/pk6/1R6
100,7r/5B2/3p4/1P2pk1K/7p/5P2/5bP1/1R6
1000,1K6/1qr4P/PP4P1/1Q2p3/3b4/3p4/ppp1p2B/1k6
10000,2K1r3/1P5P/3q2P1/P5p1/7p/3p4/6k1/8
10001,1q6/1Pq5/PKP5/3P4/p1Rp4/2B5/8/2k5
10002,8/5p2/3kp3/P4p1p/4nK1P/4P1P1/5r2/R7
10003,2K1R3/1P4PP/1R1p4/P7/k4b2/2p4p/Q1pq3p/8
10004,6Qk/4N3/8/7p/3P4/P3P3/5PPP/R3K2R
10005,8/P7/3q4/K5r1/3P4/1p1p4/p1p5/1k6
10006,8/KP6/P1P3p1/6n1/7p/1q6/pk6/2Q1R3
10007,7k/5B2/6NK/8/8/1p6/8/8
10008,6k1/5ppp/p2Bp3/1b2P3/4P3/2R2P2/1r5P/3BK1r1
10009,6q1/2K5/3P3P/1RP4p/3QpPp1/2k2p2/2p5/2b5
1001,5rk1/p4pbp/1p4p1/1Q1P4/8/7P/PPr3qN/R3R2K
10010,2Q2k2/2p1nppp/8/1pBN4/3Pq3/2P1P2P/5PP1/6K1
10011,8/8/8/p7/8/P1k5/Kp6/r7
10012,KR5B/PPn4r/2P5/N2PPp2/p3Q1p1/1p6/2p1n3/1k6
10013,5R2/r7/8/4p1pp/6kP/5PP1/6K1/8
10014,8/p3Qp1k/1p2bPpp/8/4B1P1/4P2P/PP6/1K1q4
10015,8/8/4p3/3p1pp1/1pkP4/4P3/2K1BPb1/8
10016,8/8/3P1k2/P2p3K/p7/2p4q/8/8
10017,8/2PQ4/3N4/PP1b4/2K5/p3b1p1/1pp2R2/1k1r4
10018,KR6/1P5P/P3q1B1/8/2b5/pp2P3/k3r3/1Q6
10019,R3RK2/1PPnNQ2/1P1P3P/7p/1p2pP2/p1bq4/1kp5/6r1
1002,8/5pk1/6p1/6Pp/K6P/8/1r6/r7
